timestamp,cpu_usage,memory_usage,disk_read,disk_write,network_receive,network_transmit,active_processes,cpu_change,memory_change,disk_read_speed,disk_write_speed,network_receive_speed,network_transmit_speed,cpu_rolling,memory_std,cpu_mem_ratio,disk_cpu_ratio,high_cpu,high_memory,hour,day_of_week
55:33.0,75.34561404,47.85361492,51618816,1798144,32282848,2048984,1,-0.104299824,4.699561185,0,0,606,579,73.94460426,8.803761906,1.574502034,676120.2546,0,0,22,1
55:36.5,75.34561404,47.85361492,51618816,1798144,32282848,2048984,1,-0.104299824,4.699561185,0,0,606,579,73.94460426,8.803761906,1.574502034,676120.2546,0,0,22,1
56:57.2,99.8686267,39.66235427,51618816,1798144,33988236,2122761,1,-0.104299824,4.699561185,0,0,606,579,73.94460426,8.803761906,2.517970215,511743.0235,1,0,22,1
57:07.9,99.78682575,39.66235427,51618816,1798144,33988236,2122761,1,-0.081800954,4.699561185,0,0,606,579,73.94460426,8.803761906,2.517970215,511743.0235,1,0,22,1
58:11.3,99.63172731,54.575079,51618816,1798144,162273193,3184741,1,-0.155098437,4.699561185,0,0,606,579,73.94460426,8.803761906,1.825590162,512947.7291,1,0,22,1
59:05.3,94.87051931,36.96610113,51618816,1798144,162279289,3208371,1,-4.761208,-17.60897787,0,0,6096,23630,73.94460426,8.803761906,2.566419406,538422.2008,1,0,22,1
00:02.3,85.53294087,39.95264053,51618816,1798144,162287509,3235119,1,-9.337578446,2.986539395,0,0,8220,26748,95.93812799,8.803761906,2.14085827,596522.1508,1,0,23,1
01:06.6,81.13497202,46.91744461,51618816,1798144,166976331,3320746,1,-4.397968849,6.964804083,0,0,4688822,85627,92.19139705,8.803761906,1.729313536,628463.3054,1,0,23,1
02:04.3,80.05614035,51.00153924,51618816,1798144,208761060,3397201,1,-1.078831665,4.084094632,0,0,41784729,76455,88.24525997,7.373974588,1.569680867,636827.9538,1,0,23,1
03:02.3,74.40388893,52.42083128,53945344,1957888,208791082,3415455,1,-5.652251419,1.419292041,2326528,159744,30022,18254,83.19969229,6.777959814,1.419357288,715418.5913,0,0,23,1
04:02.0,69.70624664,52.25565852,53945344,1957888,208795747,3430165,1,-4.697642287,-0.165172766,0,0,4665,14710,78.16683776,5.274868718,1.333946383,762950.1856,0,0,23,1
05:02.4,68.89072575,52.95973756,53945344,1957888,208809513,3442811,1,-0.815520899,0.704079044,0,0,13766,12646,74.83839474,2.451612742,1.300813201,771852.6804,0,0,23,1
06:13.0,67.63850034,56.20717876,53945344,1957888,210511666,3664411,1,-1.252225407,3.2474412,0,0,1702153,221600,72.1391004,1.947186068,1.20337832,785934.1876,0,0,23,1
07:08.0,65.74222547,56.55152782,53945344,1957888,212512173,3829022,1,-1.896274873,0.34434906,0,0,2000507,164611,69.27631743,2.119515553,1.162518998,808264.088,0,0,23,1
08:02.7,69.51266639,42.0253923,53945344,1957888,212542913,3877204,1,3.770440922,-14.52613552,0,0,30740,48182,68.29807292,5.892707671,1.654063474,765044.7326,0,0,23,1
09:03.1,73.99010182,45.20407847,53945344,1957888,212580984,3919758,1,4.477435435,3.178686171,0,0,38071,42554,69.15484395,6.615678767,1.636801464,719366.1922,0,0,23,1
10:02.3,78.00051225,44.03076644,53945344,1957888,212609708,3953304,1,4.010410425,-1.17331203,0,0,28724,33546,70.97680125,7.009350163,1.771500216,682848.028,0,0,23,1
11:01.7,66.09170398,51.60805272,53945344,1957888,212612266,3958235,1,-11.90880827,7.577286277,0,0,2558,4931,70.66744198,6.028002978,1.280647118,804053.8666,0,0,23,1
12:02.2,56.14050477,52.19620091,53945344,1957888,212612692,3958661,1,-9.951199206,0.588148194,0,0,426,426,68.74709784,4.610374871,1.075566876,944082.3846,0,0,23,1
13:09.9,56.31767369,53.99221082,53945344,1957888,217370774,4508884,1,0.177168922,1.796009913,0,0,4758082,550223,66.1080993,4.478193471,1.04307034,941164.2261,0,0,23,1
14:06.2,63.03665105,58.63529876,53945344,1957888,218826264,4866842,1,6.71897736,4.643087939,0,0,1455490,357958,63.91740915,5.283325371,1.075063185,842413.5728,0,0,23,1
15:07.0,68.88135688,40.40522997,53945344,1957888,605838947,5619886,1,5.844705832,-18.23006879,0,0,387012683,753044,62.09357807,6.71985827,1.704763391,771956.1612,0,0,23,1
16:02.8,81.38748925,34.04590632,53945344,1957888,941460498,6193167,1,12.50613236,-6.359323653,0,0,335621551,573281,65.15273513,10.23372324,2.390522035,654775.9192,1,0,23,1
17:02.2,82.39343952,35.65504948,53945344,1957888,941489229,6211000,1,1.00595027,1.609143156,0,0,28731,17833,70.40332208,11.11514935,2.310849115,646877.5519,1,0,23,1
18:01.6,66.91858854,37.83500859,53945344,1957888,941508039,6226753,1,-15.47485098,2.179959114,0,0,18810,15753,72.52350505,9.972531441,1.768694948,794264.7979,0,0,23,1
19:02.1,56.80644346,46.35431911,53945344,1957888,941524388,6247903,1,-10.11214507,8.519310521,0,0,16349,21150,71.27746353,4.823130825,1.225483289,933206.4173,0,0,23,1
20:03.7,49.96596981,33.66161277,53945344,1957888,941577429,6334617,1,-6.840473656,-12.69270634,0,0,53041,86714,67.49438611,5.210049932,1.484360543,1058458.108,0,0,23,1
21:03.1,45.40109934,45.97461688,53945344,1957888,1031606607,6899320,1,-4.564870463,12.31300411,0,0,90029178,564703,60.29710813,5.91101514,0.987525344,1162587.627,0,0,23,1
22:02.0,46.10350877,55.04993635,53945344,1957888,1031610071,6905597,1,0.702409428,9.07531947,0,0,3464,6277,53.03912198,8.309324437,0.837485233,1145251.074,0,0,23,1
23:03.7,52.78262182,22.13142885,53945344,1957888,1031646873,6968611,1,6.679113043,-32.9185075,0,0,36802,63014,50.21192864,12.84545428,2.384962226,1003025.553,0,0,23,1
44:06.3,99.97738302,55.58039967,20329472,1601536,73386,39195,1,47.1947612,33.44897082,-33615872,-356352,-1031573487,-6929416,58.84611655,14.43662373,1.798788487,201326.9843,1,0,15,2
45:13.1,99.80450562,65.01934092,20718592,1630208,74064,40987,1,-0.172877399,9.438941243,389120,28672,678,1792,68.81382371,16.33467238,1.53499719,205532.4003,1,0,15,2
46:14.5,99.24289382,34.72147932,20718592,1630208,104585,57113,1,-0.561611795,-30.29786159,0,0,30521,16126,79.58218261,17.54338811,2.858256496,206683.8976,1,0,15,2
47:03.5,98.95656331,51.83446012,20718592,1630208,4007124,951388,1,-0.286330515,17.1129808,0,0,3902539,894275,90.15279351,17.20735588,1.909088338,207275.9538,1,0,15,2
48:08.2,98.56099837,59.75195418,20718592,1630208,43551892,1589139,1,-0.395564938,7.91749406,0,0,39544768,637751,99.30846883,11.52656596,1.64950251,208099.4801,1,0,15,2
49:04.4,89.23897407,44.92831809,20718592,1630208,43565932,1626961,1,-9.322024297,-14.82363609,0,0,14040,37822,97.16078704,11.99349011,1.986252276,229596.9365,1,0,15,2
50:06.5,85.68704299,63.42558051,20718592,1630208,43766698,1992947,1,-3.551931082,18.49726243,0,0,200766,365986,94.33729451,11.54903412,1.350985553,239004.4842,1,0,15,2
51:04.2,82.72017153,43.94175916,20718592,1630208,44151142,2041489,1,-2.966871463,-19.48382135,0,0,384444,48542,91.03275005,8.697613479,1.882495674,247474.3138,1,0,15,2
52:03.9,72.45359645,47.84667302,20718592,1630208,44217444,2060843,1,-10.26657508,3.904913855,0,0,66302,19354,85.73215668,8.983714489,1.514287031,282063.6838,0,0,15,2
53:08.5,62.71214987,57.00669184,20718592,1630208,44218823,2062222,1,-9.741446583,9.160018824,0,0,1379,1379,78.56238698,8.458417322,1.100084005,325190.5962,0,0,15,2
54:05.2,68.95541822,41.35191286,20718592,1630208,44248202,2210845,1,6.243268348,-15.65477899,0,0,29379,148623,74.50567581,9.258992036,1.667526686,296168.5103,0,0,15,2
55:03.2,63.24153732,56.27609876,20718592,1630208,44301918,2228081,1,-5.713880898,14.9241859,0,0,53716,17236,70.01657468,7.10726503,1.123772591,322510.8375,0,0,15,2
56:08.4,62.9937298,35.17556043,20718592,1630208,259004659,2945764,1,-0.247807515,-21.10053833,0,0,214702741,717683,66.07128633,9.449909283,1.790837986,323759.7193,0,0,15,2
57:06.0,71.51177069,41.61729089,20718592,1630208,497994066,3620010,1,8.518040888,6.441730467,0,0,238989407,674246,65.88292118,9.802030832,1.718318736,285727.2937,0,0,15,2
58:03.9,71.7503109,43.24651921,20718592,1630208,658469620,4269150,1,0.238540209,1.629228315,0,0,160475554,649140,67.69055339,7.75793972,1.659100252,284790.4256,0,0,15,2
59:09.2,75.09289506,34.97354254,20718592,1630208,685397484,4346452,1,3.342584163,-8.272976665,0,0,26927864,77302,68.91804875,8.67639098,2.147134365,272280.2435,0,0,15,2
