timestamp,cpu_usage,memory_usage,disk_read,disk_write,network_receive,network_transmit,active_processes,cpu_change,memory_change,disk_read_speed,disk_write_speed,network_receive_speed,network_transmit_speed,cpu_rolling,memory_std,cpu_mem_ratio,disk_cpu_ratio,high_cpu,high_memory,hour,day_of_week
55:33.0,0.741482549,0.534835223,0.456044836,0.101987695,0.011287079,0.086768155,0,0.315887646,0.646228687,0.472712965,0.085014409,0.773103669,0.801515326,0.731806314,0.347630162,0.200033789,0.034790386,0,0,0.956521739,0.166666667
55:36.5,0.741482549,0.534835223,0.456044836,0.101987695,0.011287079,0.086768155,0,0.315887646,0.646228687,0.472712965,0.085014409,0.773103669,0.801515326,0.731806314,0.347630162,0.200033789,0.034790386,0,0,0.956521739,0.166666667
56:57.2,0.998858571,0.412186921,0.456044836,0.101987695,0.011883491,0.089906652,0,0.315887646,0.646228687,0.472712965,0.085014409,0.773103669,0.801515326,0.731806314,0.347630162,0.326935124,0.023013932,1,0,0.956521739,0.166666667
57:07.9,0.998000047,0.412186921,0.456044836,0.101987695,0.011883491,0.089906652,0,0.31608137,0.646228687,0.472712965,0.085014409,0.773103669,0.801515326,0.731806314,0.347630162,0.326935124,0.023013932,1,0,0.956521739,0.166666667
58:11.3,0.996372245,0.635476161,0.456044836,0.101987695,0.056747605,0.135083612,0,0.315450251,0.646228687,0.472712965,0.085014409,0.773103669,0.801515326,0.731806314,0.347630162,0.233806437,0.023100241,1,0,0.956521739,0.166666667
59:05.3,0.946402007,0.371815739,0.456044836,0.101987695,0.056749737,0.136088839,0,0.275789886,0.371714489,0.472712965,0.085014409,0.773105154,0.802301357,0.731806314,0.347630162,0.33345179,0.024925305,1,0,0.956521739,0.166666667
00:02.3,0.848401454,0.416533396,0.456044836,0.101987695,0.056752611,0.137226708,0,0.236385586,0.625149369,0.472712965,0.085014409,0.773105728,0.80240768,0.964362523,0.347630162,0.276211623,0.029087751,1,0,1,0.166666667
01:06.6,0.802243515,0.520817881,0.456044836,0.101987695,0.058392397,0.140869307,0,0.278917514,0.674103275,0.472712965,0.085014409,0.774371233,0.804415432,0.924745154,0.347630162,0.220856734,0.031376106,1,0,1,0.166666667
02:04.3,0.790920868,0.581969307,0.456044836,0.101987695,0.073005449,0.144121727,0,0.307496554,0.638655161,0.472712965,0.085014409,0.784400933,0.80410267,0.883019295,0.291145263,0.199385318,0.031975374,1,0,1,0.166666667
03:02.3,0.731598875,0.603220463,0.486362423,0.11121628,0.073015949,0.144898257,0,0.268117661,0.605863854,0.495061971,0.096253602,0.773111623,0.802118038,0.829668221,0.26759922,0.179166021,0.037605831,0,0,1,0.166666667
04:02.0,0.682295778,0.60074732,0.486362423,0.11121628,0.07301758,0.145524025,0,0.276337211,0.586366473,0.472712965,0.085014409,0.773104767,0.801997188,0.776451575,0.208218396,0.167677814,0.04101113,0,0,1,0.166666667
